user_id,movie_id,rank
0,422,1
0,293,2
0,317,3
0,404,4
0,287,5
0,285,6
0,356,7
0,654,8
0,495,9
0,275,10
0,482,11
0,567,12
0,426,13
0,545,14
0,274,15
0,299,16
0,741,17
0,434,18
0,384,19
0,526,20
1,327,1
1,747,2
1,332,3
1,244,4
1,322,5
1,267,6
1,339,7
1,321,8
1,689,9
1,325,10
1,326,11
1,331,12
1,320,13
1,677,14
1,318,15
1,270,16
1,878,17
1,750,18
1,749,19
1,330,20
2,285,1
2,312,2
2,268,3
2,747,4
2,689,5
2,300,6
2,288,7
2,309,8
2,291,9
2,749,10
2,303,11
2,878,12
2,314,13
2,681,14
2,677,15
2,269,16
2,258,17
2,750,18
2,304,19
2,886,20
3,285,1
3,312,2
3,332,3
3,268,4
3,301,5
3,747,6
3,306,7
3,244,8
3,689,9
3,288,10
3,322,11
3,325,12
3,339,13
3,321,14
3,267,15
3,331,16
3,271,17
3,309,18
3,291,19
3,303,20
4,55,1
4,194,2
4,95,3
4,201,4
4,81,5
4,27,6
4,160,7
4,21,8
4,567,9
4,70,10
4,96,11
4,264,12
4,195,13
4,131,14
4,63,15
4,654,16
4,87,17
4,237,18
4,190,19
4,317,20
5,180,1
5,287,2
5,120,3
5,171,4
5,221,5
5,299,6
5,209,7
5,312,8
5,175,9
5,95,10
5,24,11
5,233,12
5,96,13
5,117,14
5,747,15
5,195,16
5,10,17
5,143,18
5,81,19
5,178,20
6,87,1
6,94,2
6,0,3
6,208,4
6,731,5
6,221,6
6,217,7
6,82,8
6,738,9
6,57,10
6,683,11
6,691,12
6,65,13
6,238,14
6,93,15
6,116,16
6,734,17
6,1,18
6,232,19
6,704,20
7,99,1
7,285,2
7,287,3
7,0,4
7,299,5
7,120,6
7,236,7
7,116,8
7,312,9
7,97,10
7,404,11
7,747,12
7,150,13
7,256,14
7,268,15
7,14,16
7,327,17
7,24,18
7,8,19
7,275,20
8,257,1
8,287,2
8,299,3
8,99,4
8,180,5
8,312,6
8,0,7
8,268,8
8,126,9
8,236,10
8,120,11
8,747,12
8,327,13
8,301,14
8,116,15
8,288,16
8,221,17
8,267,18
8,332,19
8,8,20
9,180,1
9,171,2
9,203,3
9,209,4
9,172,5
9,78,6
9,422,7
9,317,8
9,120,9
9,95,10
9,27,11
9,88,12
9,201,13
9,221,14
9,236,15
9,96,16
9,116,17
9,195,18
9,426,19
9,150,20
10,49,1
10,180,2
10,173,3
10,0,4
10,171,5
10,209,6
10,126,7
10,6,8
10,194,9
10,95,10
10,116,11
10,201,12
10,182,13
10,233,14
10,63,15
10,88,16
10,150,17
10,185,18
10,81,19
10,152,20
11,180,1
11,99,2
11,0,3
11,55,4
11,120,5
11,6,6
11,116,7
11,221,8
11,236,9
11,257,10
11,209,11
11,172,12
11,78,13
11,293,14
11,285,15
11,287,16
11,422,17
11,150,18
11,404,19
11,175,20
12,150,1
12,256,2
12,14,3
12,244,4
12,741,5
12,124,6
12,495,7
12,258,8
12,281,9
12,297,10
12,133,11
12,249,12
12,478,13
12,202,14
12,303,15
12,282,16
12,283,17
12,590,18
12,581,19
12,627,20
13,285,1
13,257,2
13,0,3
13,293,4
13,236,5
13,116,6
13,299,7
13,78,8
13,404,9
13,317,10
13,68,11
13,256,12
13,422,13
13,215,14
13,63,15
13,182,16
13,27,17
13,233,18
13,117,19
13,88,20
14,287,1
14,293,2
14,312,3
14,244,4
14,267,5
14,99,6
14,325,7
14,339,8
14,326,9
14,271,10
14,270,11
14,331,12
14,320,13
14,303,14
14,318,15
14,314,16
14,750,17
14,258,18
14,275,19
14,116,20
15,49,1
15,180,2
15,209,3
15,120,4
15,172,5
15,175,6
15,221,7
15,116,8
15,185,9
15,81,10
15,237,11
15,404,12
15,152,13
15,96,14
15,131,15
15,195,16
15,264,17
15,184,18
15,567,19
15,257,20
16,257,1
16,287,2
16,299,3
16,49,4
16,312,5
16,327,6
16,747,7
16,180,8
16,301,9
16,288,10
16,332,11
16,120,12
16,126,13
16,267,14
16,300,15
16,321,16
16,306,17
16,256,18
16,677,19
16,270,20
17,172,1
17,175,2
17,182,3
17,95,4
17,654,5
17,227,6
17,120,7
17,143,8
17,264,9
17,6,10
17,221,11
17,160,12
17,510,13
17,10,14
17,567,15
17,384,16
17,202,17
17,116,18
17,229,19
17,432,20
18,49,1
18,285,2
18,99,3
18,180,4
18,299,5
18,0,6
18,126,7
18,236,8
18,120,9
18,6,10
18,116,11
18,268,12
18,747,13
18,221,14
18,327,15
18,301,16
18,173,17
18,55,18
18,97,19
18,404,20
19,99,1
19,257,2
19,293,3
19,126,4
19,55,5
19,285,6
19,6,7
19,236,8
19,116,9
19,221,10
19,299,11
19,78,12
19,172,13
19,167,14
19,24,15
19,256,16
19,194,17
19,95,18
19,317,19
19,8,20
20,312,1
20,332,2
20,306,3
20,116,4
20,270,5
20,301,6
20,331,7
20,878,8
20,236,9
20,681,10
20,268,11
20,180,12
20,267,13
20,750,14
20,256,15
20,689,16
20,894,17
20,404,18
20,330,19
20,596,20
21,55,1
21,97,2
21,99,3
21,0,4
21,422,5
21,68,6
21,233,7
21,21,8
21,81,9
21,6,10
21,182,11
21,27,12
21,150,13
21,63,14
21,317,15
21,96,16
21,190,17
21,195,18
21,236,19
21,70,20
22,209,1
22,167,2
22,120,3
22,126,4
22,68,5
22,317,6
22,21,7
22,63,8
22,116,9
22,185,10
22,134,11
22,236,12
22,96,13
22,11,14
22,495,15
22,196,16
22,181,17
22,264,18
22,10,19
22,179,20
23,49,1
23,180,2
23,0,3
23,120,4
23,173,5
23,221,6
23,171,7
23,404,8
23,203,9
23,209,10
23,167,11
23,14,12
23,312,13
23,256,14
23,194,15
23,95,16
23,422,17
23,21,18
23,117,19
23,110,20
24,99,1
24,55,2
24,171,3
24,209,4
24,167,5
24,68,6
24,422,7
24,116,8
24,95,9
24,317,10
24,236,11
24,215,12
24,21,13
24,201,14
24,27,15
24,233,16
24,190,17
24,63,18
24,88,19
24,404,20
25,244,1
25,288,2
25,267,3
25,300,4
25,306,5
25,325,6
25,271,7
25,339,8
25,326,9
25,689,10
25,258,11
25,274,12
25,318,13
25,331,14
25,878,15
25,357,16
25,309,17
25,269,18
25,272,19
25,242,20
26,257,1
26,293,2
26,299,3
26,312,4
26,747,5
26,327,6
26,268,7
26,180,8
26,0,9
26,236,10
26,301,11
26,332,12
26,244,13
26,322,14
26,288,15
26,116,16
26,126,17
26,267,18
26,6,19
26,300,20
27,180,1
27,0,2
27,171,3
27,120,4
27,203,5
27,209,6
27,126,7
27,167,8
27,68,9
27,236,10
27,21,11
27,215,12
27,317,13
27,201,14
27,150,15
27,404,16
27,182,17
27,63,18
27,190,19
27,81,20
28,257,1
28,287,2
28,312,3
28,327,4
28,49,5
28,99,6
28,332,7
28,288,8
28,300,9
28,322,10
28,180,11
28,306,12
28,0,13
28,236,14
28,321,15
28,339,16
28,126,17
28,271,18
28,270,19
28,689,20
29,287,1
29,299,2
29,99,3
29,747,4
29,327,5
29,0,6
29,268,7
29,236,8
29,301,9
