user_id,movie_id,rank
0,422,1
0,293,2
0,317,3
0,404,4
0,287,5
0,285,6
0,356,7
0,654,8
0,495,9
0,275,10
1,327,1
1,747,2
1,332,3
1,244,4
1,322,5
1,267,6
1,339,7
1,321,8
1,689,9
1,325,10
2,285,1
2,312,2
2,268,3
2,747,4
2,689,5
2,300,6
2,288,7
2,309,8
2,291,9
2,749,10
3,285,1
3,312,2
3,332,3
3,268,4
3,301,5
3,747,6
3,306,7
3,244,8
3,689,9
3,288,10
4,55,1
4,194,2
4,95,3
4,201,4
4,81,5
4,27,6
4,160,7
4,21,8
4,567,9
4,70,10
5,180,1
5,287,2
5,120,3
5,171,4
5,221,5
5,299,6
5,209,7
5,312,8
5,175,9
5,95,10
6,87,1
6,94,2
6,0,3
6,208,4
6,731,5
6,221,6
6,217,7
6,82,8
6,738,9
6,57,10
7,99,1
7,285,2
7,287,3
7,0,4
7,299,5
7,120,6
7,236,7
7,116,8
7,312,9
7,97,10
8,257,1
8,287,2
8,299,3
8,99,4
8,180,5
8,312,6
8,0,7
8,268,8
8,126,9
8,236,10
9,180,1
9,171,2
9,203,3
9,209,4
9,172,5
9,78,6
9,422,7
9,317,8
9,120,9
9,95,10
10,49,1
10,180,2
10,173,3
10,0,4
10,171,5
10,209,6
10,126,7
10,6,8
10,194,9
10,95,10
11,180,1
11,99,2
11,0,3
11,55,4
11,120,5
11,6,6
11,116,7
11,221,8
11,236,9
11,257,10
12,150,1
12,256,2
12,14,3
12,244,4
12,741,5
12,124,6
12,495,7
12,258,8
12,281,9
12,297,10
13,285,1
13,257,2
13,0,3
13,293,4
13,236,5
13,116,6
13,299,7
13,78,8
13,404,9
13,317,10
14,287,1
14,293,2
14,312,3
14,244,4
14,267,5
14,99,6
14,325,7
14,339,8
14,326,9
14,271,10
15,49,1
15,180,2
15,209,3
15,120,4
15,172,5
15,175,6
15,221,7
15,116,8
15,185,9
15,81,10
16,257,1
16,287,2
16,299,3
16,49,4
16,312,5
16,327,6
16,747,7
16,180,8
16,301,9
16,288,10
17,172,1
17,175,2
17,182,3
17,95,4
17,654,5
17,227,6
17,120,7
17,143,8
17,264,9
17,6,10
18,49,1
18,285,2
18,99,3
18,180,4
18,299,5
18,0,6
18,126,7
18,236,8
18,120,9
18,6,10
19,99,1
19,257,2
19,293,3
19,126,4
19,55,5
19,285,6
19,6,7
19,236,8
19,116,9
19,221,10
20,312,1
20,332,2
20,306,3
20,116,4
20,270,5
20,301,6
20,331,7
20,878,8
20,236,9
20,681,10
21,55,1
21,97,2
21,99,3
21,0,4
21,422,5
21,68,6
21,233,7
21,21,8
21,81,9
21,6,10
22,209,1
22,167,2
22,120,3
22,126,4
22,68,5
22,317,6
22,21,7
22,63,8
22,116,9
22,185,10
23,49,1
23,180,2
23,0,3
23,120,4
23,173,5
23,221,6
23,171,7
23,404,8
23,203,9
23,209,10
24,99,1
24,55,2
24,171,3
24,209,4
24,167,5
24,68,6
24,422,7
24,116,8
24,95,9
24,317,10
25,244,1
25,288,2
25,267,3
25,300,4
25,306,5
25,325,6
25,271,7
25,339,8
25,326,9
25,689,10
26,257,1
26,293,2
26,299,3
26,312,4
26,747,5
26,327,6
26,268,7
26,180,8
26,0,9
26,236,10
27,180,1
27,0,2
27,171,3
27,120,4
27,203,5
27,209,6
27,126,7
27,167,8
27,68,9
27,236,10
28,257,1
28,287,2
28,312,3
28,327,4
28,49,5
28,99,6
28,332,7
28,288,8
28,300,9
28,322,10
29,287,1
29,299,2
29,99,3
29,747,4
29,327,5
29,0,6
29,268,7
29,236,8
29,301,9
29,120,10
30,285,1
30,257,2
30,299,3
30,287,4
30,49,5
30,293,6
30,99,7
30,268,8
30,312,9
30,180,10
31,257,1
31,285,2
31,299,3
31,0,4
31,747,5
31,327,6
31,236,7
31,120,8
31,268,9
31,126,10
32,285,1
32,747,2
32,268,3
32,301,4
32,300,5
32,288,6
32,689,7
32,325,8
32,321,9
32,339,10
33,299,1
33,257,2
33,327,3
33,332,4
33,312,5
33,301,6
33,268,7
33,306,8
33,747,9
33,300,10
34,285,1
34,287,2
34,293,3
34,312,4
34,306,5
34,301,6
34,268,7
34,322,8
34,244,9
34,300,10
35,299,1
35,285,2
35,327,3
35,689,4
35,257,5
35,312,6
35,301,7
35,325,8
35,331,9
35,300,10
36,180,1
36,99,2
36,0,3
36,97,4
36,236,5
36,293,6
36,257,7
36,203,8
36,172,9
36,150,10
37,49,1
37,173,2
37,180,3
37,55,4
37,97,5
37,171,6
37,203,7
37,209,8
37,120,9
37,172,10
38,285,1
38,327,2
38,288,3
38,244,4
38,322,5
38,689,6
38,339,7
38,325,8
38,321,9
38,267,10
39,287,1
39,312,2
39,747,3
39,306,4
39,300,5
39,288,6
39,689,7
39,322,8
39,325,9
39,326,10
40,171,1
40,120,2
40,126,3
40,203,4
40,209,5
40,6,6
40,78,7
40,221,8
40,236,9
40,116,10
41,55,1
41,99,2
41,6,3
41,126,4
41,116,5
41,21,6
41,88,7
41,185,8
41,190,9
41,237,10
42,287,1
42,194,2
42,95,3
42,21,4
42,175,5
42,233,6
42,182,7
42,88,8
42,356,9
42,124,10
43,126,1
43,209,2
43,78,3
43,116,4
43,233,5
43,27,6
43,287,7
43,185,8
43,11,9
43,285,10
44,257,1
44,293,2
44,285,3
44,299,4
44,747,5
44,312,6
44,116,7
44,327,8
44,221,9
44,322,10
45,257,1
45,268,2
45,301,3
45,300,4
45,288,5
45,322,6
45,339,7
45,325,8
45,267,9
45,321,10
46,299,1
46,327,2
46,312,3
46,293,4
46,332,5
46,747,6
46,689,7
46,244,8
46,325,9
46,271,10
47,99,1
47,257,2
47,0,3
47,126,4
47,287,5
47,120,6
47,236,7
47,6,8
47,221,9
47,116,10
48,126,1
48,236,2
48,221,3
48,209,4
48,287,5
48,78,6
48,285,7
48,404,8
48,68,9
48,194,10
49,257,1
49,299,2
49,293,3
49,312,4
49,327,5
49,747,6
49,268,7
49,301,8
49,332,9
49,49,10
50,173,1
50,99,2
50,55,3
50,97,4
50,0,5
50,203,6
50,120,7
50,167,8
50,78,9
50,126,10
51,285,1
51,49,2
51,293,3
51,299,4
51,180,5
51,0,6
51,312,7
51,126,8
51,268,9
51,327,10
52,293,1
52,287,2
52,285,3
52,0,4
52,299,5
52,236,6
52,116,7
52,126,8
52,221,9
52,55,10
53,285,1
53,293,2
53,299,3
53,268,4
53,322,5
53,288,6
53,300,7
53,321,8
53,677,9
53,270,10
54,257,1
54,99,2
54,293,3
54,287,4
54,285,5
54,0,6
54,299,7
54,236,8
54,126,9
54,221,10
55,99,1
55,126,2
55,317,3
55,134,4
55,131,5
55,11,6
55,356,7
55,495,8
55,181,9
55,184,10
56,285,1
56,299,2
56,312,3
56,327,4
56,126,5
56,268,6
56,288,7
56,332,8
56,301,9
56,275,10
57,285,1
57,257,2
57,293,3
57,287,4
57,116,5
57,78,6
57,275,7
57,422,8
57,21,9
57,14,10
58,221,1
58,116,2
58,152,3
58,143,4
58,87,5
58,7,6
58,293,7
58,153,8
58,256,9
